35342	31555	67
35338	31538	118
35330	31493	156
35317	31427	184
35301	31333	216
35281	31212	255
35256	31068	280
35226	30905	312
35192	30727	341
35156	30534	387
35119	30333	422
35080	30129	448
35042	29928	472
35004	29731	510
34971	29548	523
34941	29385	536
34914	29245	544
34892	29130	536
34876	29042	532
34865	28981	530
34856	28941	514
34851	28921	510
34849	28913	498
34847	28913	475
34847	28913	441
34847	28914	392
34847	28939	315
34847	28980	206
34847	29035	99
34848	29104	0
34848	29104	0
34857	29281	0
34862	29388	0
34867	29505	0
34874	29630	0
34881	29768	0
34889	29916	0
34897	30072	0
34897	30232	0
34899	30393	0
34911	30553	0
34922	30704	0
34922	30847	0
34932	30974	0
34934	31090	0
34936	31189	0
34936	31277	0
34941	31356	0
34942	31427	0
34942	31492	0
34936	31553	0
34917	31613	0
34900	31672	0
34884	31726	0
34869	31776	0
34853	31818	0
34840	31829	0
34828	31834	0
34817	31866	0
34806	31871	0
34796	31871	0
34786	31871	0
34777	31857	0
34768	31846	64
34759	31840	98
34753	31833	137
34749	31830	166
34746	31828	183
34746	31828	194
34746	31828	201
34755	31829	206
34779	31853	210
34815	31888	215
34867	31939	218
34934	32006	227
35017	32092	243
35118	32197	253
35233	32310	278
35359	32432	282
35490	32553	295
35628	32671	301
35771	32779	312
35911	32866	316
36049	32938	313
36186	32990	312
36320	33023	318
36448	33036	320
36565	33036	320
36673	33028	315
36769	32991	318
36852	32939	322
36919	32875	311
36971	32794	311
37007	32699	309
37022	32582	307
37022	32442	313
37004	32271	322
36957	32072	321
36886	31845	330
36792	31590	337
36681	31319	387
36558	31039	377
36432	30757	370
36304	30480	397
36186	30223	411
36081	29991	399
35991	29788	395
35917	29617	402
35859	29490	386
35820	29395	395
35796	29325	395
35788	29272	388
35788	29231	375
35802	29184	363
35832	29124	362
35869	29049	361
35916	28964	359
35967	28869	349
36021	28765	355
36074	28659	363
36126	28551	360
36173	28442	363
36214	28332	369
36250	28223	378
36281	28118	392
36306	28018	402
36326	27924	402
36342	27840	405
36355	27767	401
36363	27702	395
36370	27646	383
36373	27598	355
36373	27559	298
36373	27537	191
36373	27534	30
36373	27534	0
36373	27571	0
36385	27630	0
36406	27707	0
36437	27797	0
36476	27894	0
36523	27991	0
36572	28089	0
36623	28184	0
36673	28277	0
36721	28362	0
36765	28438	0
36805	28504	0
36839	28562	0
36869	28610	0
36894	28650	0
36913	28680	0
36913	28680	0
36909	28716	0
36900	28751	0
36891	28774	0
36891	28804	0
36891	28839	0
36891	28882	0
36893	28935	0
36895	28994	0
36907	29066	0
36917	29143	0
36925	29228	0
36930	29314	0
36933	29404	0
36935	29496	0
36936	29590	0
36936	29687	0
36936	29783	0
36936	29876	0
36936	29964	0
36936	30042	0
36929	30105	0
36921	30155	0
36912	30155	0
36909	30213	0
36898	30265	0
36892	30298	0
36887	30327	0
36882	30355	0
36874	30355	0
36865	30355	0
36857	30353	0
36848	30342	0
36839	30345	0
36830	30359	0
36814	30360	0
36798	30360	0
36781	30326	0
36764	30270	0
36746	30197	0
36724	30099	0
36697	30013	0
36665	29909	0
36625	29788	0
36576	29655	0
36526	29519	0
36482	29391	0
36482	29277	0
36463	29180	0
36447	29098	0
36447	29027	0
36459	28967	0
36478	28907	0
36497	28849	0
36518	28797	0
36539	28753	0
36561	28721	0
36585	28721	0
36609	28728	0
36631	28745	0
36652	28745	0
36673	28745	0
36690	28745	0
36690	28745	0
36710	28710	0
36710	28684	0
36710	28666	0
36709	28650	0
36709	28627	0
36709	28594	0
36709	28546	0
36713	28486	0
36719	28421	0
36726	28359	0
36729	28321	0
36729	28280	0
36729	28234	0
36726	28182	0
36714	28126	0
36700	28066	0
36684	28006	0
36667	27950	0
36650	27902	0
36650	27863	0
36649	27863	0
36646	27872	0
36644	27872	0
36637	27843	0
36630	27823	0
36620	27823	0
36615	27823	0
36611	27823	0
36607	27823	0
36602	27825	0
36596	27825	0
36585	27814	0
36572	27780	0
36555	27740	0
36535	27694	0
36519	27645	0
36503	27596	0
36487	27544	0
36471	27493	0
36457	27442	0
36444	27394	0
36433	27351	0
36430	27313	0
36428	27284	0
36426	27280	0
36421	27261	0
36419	27261	0
36418	27265	0
36418	27291	0
36421	27322	0
36430	27356	0
36439	27388	0
36448	27417	0
36455	27443	0
36458	27463	0
36460	27470	0
36464	27474	0
36467	27486	0
36468	27495	0
36469	27501	0
36470	27505	0
36470	27508	0
36470	27511	0
36470	27513	0
36470	27515	0
36472	27517	0
36472	27518	0
36473	27520	0
36474	27520	0
36475	27520	0
36475	27520	0
36476	27520	0
36476	27520	0
36476	27520	0
36477	27520	0
36479	27517	0
36480	27514	0
36482	27511	0
36486	27508	0
36488	27508	0
36491	27508	0
36493	27508	0
36494	27508	0
36496	27508	0
36497	27508	0
36498	27508	0
36500	27508	0
36503	27508	0
36504	27508	0
36506	27508	0
36511	27508	0
36515	27511	0
36518	27520	0
36521	27528	0
36525	27538	0
36528	27548	0
36531	27556	0
36533	27563	0
36536	27567	0
36538	27571	0
36540	27572	0
36541	27573	0
36543	27573	0
36543	27573	0
36544	27573	0
36544	27573	0
36544	27573	0
36544	27573	0
36544	27573	0
36544	27573	0
36544	27575	0
36544	27577	0
36544	27579	0
36544	27582	0
36544	27585	0
36547	27590	0
36551	27595	0
36554	27603	0
36558	27609	0
36563	27617	0
36567	27626	0
36573	27635	0
36580	27649	0
36586	27664	0
36594	27680	0
36601	27698	0
36608	27714	0
36610	27718	0
36614	27728	0
36617	27735	0
36618	27735	0
36618	27735	0
36618	27718	0
36616	27694	0
36610	27668	0
36603	27640	0
36596	27613	0
36590	27586	0
36584	27560	0
36579	27538	0
36574	27518	0
36572	27502	0
36569	27490	0
36567	27489	0
36567	27485	0
36567	27485	0
36567	27485	0
36567	27490	0
36574	27509	0
36582	27530	0
36589	27552	0
36596	27575	0
36603	27595	0
36609	27615	0
36614	27631	0
36618	27645	0
36620	27660	0
36625	27672	0
36630	27683	0
36634	27694	0
36637	27705	0
36641	27715	0
36644	27724	0
36648	27733	0
36652	27741	0
36656	27748	0
36661	27755	0
36666	27762	0
36671	27769	0
36676	27775	0
36682	27782	0
36687	27788	0
36692	27794	0
36698	27800	0
36703	27805	0
36708	27808	0
36712	27810	0
36715	27810	0
36719	27810	0
36721	27810	0
36723	27810	0
36726	27810	0
36730	27810	0
36735	27810	0
36741	27810	0
36747	27810	0
36753	27815	0
36758	27819	0
36762	27822	0
36766	27823	0
36769	27823	0
36770	27823	0
36771	27823	0
36771	27823	0
36771	27823	0
36771	27821	0
36771	27816	0
36771	27811	0
36771	27806	0
36771	27799	0
36771	27791	0
36771	27779	6
36771	27766	15
36771	27751	22
36771	27736	30
